County,Agency,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Total,0,85190,88558,90347,86158,82890,81799,79960,77788,71846,69896,69038,69940,69986,67942,66341,63043,65423,1286145
(Nebraska State Property),Nebraska State Patrol,43,8,1,19,34,34,21,21,26,14,27,50,39,38,70,101,59,605
Adams,Adams CO. S.O.,186,111,319,193,189,201,166,191,199,178,162,228,174,156,112,127,121,3013
Adams,Hastings P.D.,1309,1448,2037,1641,1554,1438,1545,1302,1530,1344,1235,1341,1431,1375,1355,1213,1360,24458
Adams,Nebraska State Patrol,9,11,3,9,4,1,3,9,2,0,1,2,1,2,4,3,1,65
Antelope,Antelope CO. S.O.,71,48,58,51,38,17,33,37,26,25,35,22,27,21,27,24,36,596
Antelope,Neligh P.D.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,15
Antelope,Nebraska State Patrol,1,1,1,3,3,1,2,0,0,0,0,3,0,2,0,2,0,19
Arthur,Arthur CO. S.O.,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5
Arthur,Nebraska State Patrol,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Banner,Nebraska State Patrol,1,0,0,0,0,1,0,1,1,0,1,0,1,2,0,0,1,9
Blaine,Nebraska State Patrol,0,1,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,7
Boone,Boone CO. S.O.,30,29,5,17,37,15,1,3,14,0,1,5,0,1,25,4,0,187
Boone,Albion P.D.,20,15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Boone,Nebraska State Patrol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Box Butte,Box Butte CO. S.O.,24,30,16,10,22,6,6,10,10,16,16,7,9,25,6,4,17,234
Box Butte,Alliance P.D.,418,457,486,522,421,294,353,361,323,315,296,318,0,281,313,316,235,5709
Box Butte,Nebraska State Patrol,1,0,2,1,4,2,1,0,1,1,0,1,0,0,2,2,3,21
Boyd,Boyd CO. S.O.,21,21,22,17,11,11,16,14,15,17,28,16,1,0,0,0,0,210
Boyd,Nebraska State Patrol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brown,Brown CO. S.O.,57,68,86,108,64,54,63,51,55,55,38,29,40,24,38,42,32,904
Brown,Nebraska State Patrol,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5
Buffalo,Buffalo CO. S.O.,481,484,387,390,295,345,299,295,203,246,263,253,215,244,231,243,202,5076
Buffalo,Kearney P.D.,1760,1566,1692,1564,1356,1315,1372,1479,1319,1502,1348,1262,1270,1236,1073,1200,1183,23497
Buffalo,University of Nebraska-Kearney P.D.,96,77,96,77,59,77,63,62,47,43,48,65,66,63,60,0,0,999
Buffalo,UNK Public Saftey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,47,54,110
Buffalo,Nebraska State Patrol,10,9,2,6,4,6,1,6,4,3,2,1,3,7,1,1,1,67
Burt,Burt CO. S.O.,61,58,62,79,40,38,86,41,49,29,45,54,36,48,35,40,31,832
Burt,Lyons P.D.,17,16,19,16,10,11,25,14,9,8,9,7,11,0,0,0,0,172
Burt,Tekamah P.D.,60,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,103
Burt,Nebraska State Patrol,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,4
Butler,Butler CO. S.O.,39,46,53,47,46,38,59,55,35,76,78,70,70,99,94,76,52,1033
Butler,David City P.D.,52,40,42,41,33,50,61,52,49,30,14,79,58,0,0,0,0,601
Butler,Nebraska State Patrol,0,0,0,0,0,4,2,3,1,0,0,0,2,4,0,0,0,16
Cass,Cass CO. S.O.,375,248,0,1,549,461,335,414,378,354,329,423,425,267,273,301,335,5468
Cass,Plattsmouth P.D.,231,87,0,118,278,288,318,294,313,48,243,274,274,203,175,220,174,3538
Cass,Nebraska State Patrol,18,11,2,10,4,6,2,5,2,0,7,1,7,8,3,2,1,89
Cedar,Cedar CO. S.O.,31,0,0,14,0,0,5,18,3,3,24,18,39,39,28,16,32,270
Cedar,Randolf P.D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
Cedar,Nebraska State Patrol,2,2,0,3,1,2,1,2,3,1,0,1,0,2,1,1,0,22
Chase,Chase CO. S.O.,12,13,12,21,21,13,23,26,21,37,28,32,27,30,20,26,10,372
Chase,Imperial P.D.,17,20,19,32,21,20,19,21,8,24,27,12,17,25,24,31,14,351
Chase,Nebraska State Patrol,1,0,1,2,1,3,0,1,0,1,0,0,1,1,0,0,0,12
Cherry,Cherry CO. S.O.,15,21,27,24,21,22,12,13,14,8,10,13,25,20,19,20,17,301
Cherry,Valentine P.D.,205,204,50,0,0,0,0,162,138,106,132,121,124,105,80,70,115,1612
Cherry,Nebraska State Patrol,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Cheyenne,Cheyenne CO. S.O.,0,0,113,0,0,0,0,118,18,0,0,0,0,0,60,65,45,419
Cheyenne,Sidney P.D.,295,227,269,258,246,272,278,277,184,127,147,114,183,162,280,250,202,3771
