"","year","department","county","ft_so_m","ft_so_f","ft_c_m","ft_c_f","pt_so","pt_c","us_so_ft","us_so_pt","us_c_ft","us_c_pt","pop_covered","so_per_1000","num_res_so","total_crime","total_so","total_c","crime_per_1000","total_so_change"
"1",2007,"Alliance PD","Box Butte",15,2,0,7,0,0,2,0,1,0,8054,2.1,0,361,17,7,0.0448224484728085,0
"2",2007,"Beatrice PD","Gage",16,5,3,8,0,3,1,0,0,0,12972,1.6,0,768,21,11,0.059204440333025,1
"3",2007,"Bellevue PD","Sarpy",80,6,7,9,0,8,1,0,1,0,48067,1.8,0,2354,86,16,0.0489733080907899,5
"4",2007,"Blair PD","Washington",15,0,0,2,2,0,0,0,0,0,7962,1.9,0,217,15,2,0.0272544586787239,2
"5",2007,"Chadron PD","Dawes",10,2,2,3,0,4,2,0,0,0,5158,2.3,0,195,12,5,0.0378053509112059,1
"6",2007,"Columbus PD","Platte",30,3,2,11,0,0,2,0,0,0,21420,1.5,0,818,33,13,0.0381886087768441,0
"7",2007,"Crete PD","Saline",9,2,1,6,2,0,0,0,0,0,6345,1.7,0,296,11,7,0.0466509062253743,0
"8",2007,"Fremont PD","Dodge",35,3,1,8,3,5,0,0,0,0,25423,1.5,3,1103,38,9,0.043385910396098,2
"9",2007,"Gering PD","Scotts Bluff",14,1,0,3,0,3,0,0,0,0,7677,2,0,309,15,3,0.0402500976944119,0
"10",2007,"Grand Island PD","Hall",70,5,0,10,0,8,0,0,0,0,44812,1.7,0,2919,75,10,0.0651388021065786,0
"11",2007,"Hastings PD","Adams",34,4,1,13,0,2,1,0,0,0,25250,1.5,3,1302,38,14,0.0515643564356436,-2
"12",2007,"Holdrege PD","Phelps",10,0,1,5,0,0,0,0,0,0,5281,1.9,0,236,10,6,0.0446885059647794,0
"13",2007,"Kearney PD","Buffalo",45,2,5,7,0,1,5,0,3,0,29652,1.6,0,1479,47,12,0.0498785916632942,4
"14",2007,"LaVista PD","Sarpy",28,3,0,4,0,1,0,0,0,0,16816,1.8,0,512,31,4,0.0304471931493815,0
"15",2007,"Lexington PD","Dawson",14,1,0,2,0,0,0,0,0,0,10262,1.5,0,607,15,2,0.0591502631066069,1
"16",2007,"Lincoln PD","Lancaster",262,46,21,74,0,5,9,0,0,0,243243,1.3,0,16625,308,95,0.0683472905695128,6
"17",2007,"McCook PD","Red Willow",15,0,0,4,0,2,0,0,0,0,7491,2,0,437,15,4,0.0583366706714724,1
"18",2007,"Nebraska City PD","Otoe",9,3,0,1,1,0,1,0,0,0,7106,1.7,0,353,12,1,0.0496763298620884,0
"19",2007,"Norfolk PD","Madison",35,1,3,17,0,1,4,0,0,0,23977,1.5,0,947,36,20,0.0394961838428494,0
"20",2007,"North Platte PD","Lincoln",42,0,5,20,0,1,0,0,0,0,24436,1.7,0,2221,42,25,0.0908904894418072,0
"21",2007,"Omaha PD","Douglas",607,148,44,121,30,24,67,0,31,0,431810,1.7,0,27778,755,165,0.0643292188694102,0
"22",2007,"Papillion PD","Sarpy",27,6,1,3,0,1,3,0,0,0,21748,1.5,0,588,33,4,0.027036968916682,0
"23",2007,"Plattsmouth PD","Cass",15,0,0,0,0,0,1,0,0,0,7070,2.1,5,294,15,0,0.0415841584158416,0
"24",2007,"Ralston PD","Sarpy",13,0,0,2,0,0,0,0,0,0,6144,2.1,0,232,13,2,0.0377604166666667,0
"25",2007,"Schuyler PD","Colfax",6,0,0,2,0,0,2,0,0,0,5194,1.2,0,161,6,2,0.0309973045822102,0
"26",2007,"Scottsbluff PD","Scotts Bluff",30,2,1,4,0,0,0,0,0,0,14719,2.2,0,1206,32,5,0.0819349140566615,0
"27",2007,"Seward PD","Seward",9,0,1,1,0,0,2,0,0,0,6922,1.3,0,116,9,2,0.0167581623808148,0
"28",2007,"Sidney PD","Cheyenne",12,0,0,2,0,1,2,0,0,1,6386,1.9,0,277,12,2,0.0433761352959599,0
"29",2007,"So Sioux City PD","Dakota",26,1,0,1,0,2,2,0,0,0,12139,2.2,0,313,27,1,0.0257846610099679,0
"30",2007,"Wayne PD","Wayne",8,1,1,4,1,0,0,0,0,0,5136,1.8,0,173,9,5,0.033683800623053,0
"31",2007,"York PD","York",14,0,1,5,0,0,0,0,0,0,7921,1.8,0,303,14,6,0.038252745865421,0
"32",2008,"Alliance PD","Box Butte",16,1,0,5,0,1,2,0,2,0,7963,2.1,0,323,17,5,0.0405626020344091,0
"33",2008,"Beatrice PD","Gage",17,5,3,7,0,0,0,0,0,0,12913,1.7,0,796,22,10,0.0616433051963138,0
"34",2008,"Bellevue PD","Sarpy",85,6,7,12,0,7,0,0,2,2,48894,1.9,0,2484,91,19,0.0508037796048595,7
"35",2008,"Blair PD","Washington",17,0,1,2,2,2,0,0,0,0,7914,2.1,0,212,17,3,0.0267879706848623,0
"36",2008,"Chadron PD","Dawes",12,1,1,5,0,2,0,0,0,0,5473,2.4,0,313,13,6,0.057189841037822,1
"37",2008,"Columbus PD","Platte",30,3,3,13,0,0,2,0,0,0,21438,1.5,0,819,33,16,0.0382031905961377,3
"38",2008,"Crete PD","Saline",9,2,2,5,1,1,1,0,0,0,6292,1.7,3,349,11,7,0.0554672600127146,0
"39",2008,"Fremont PD","Dodge",37,3,1,8,4,3,0,0,0,0,25362,1.6,4,1354,40,9,0.0533869568646006,1
"40",2008,"Gering PD","Scotts Bluff",14,1,0,3,0,0,0,0,0,0,7633,2,0,264,15,3,0.0345866631730643,0
"41",2008,"Grand Island PD","Hall",70,5,1,10,0,8,0,0,0,0,45022,1.7,0,3082,75,11,0.0684554217937897,0
"42",2008,"Hastings PD","Adams",31,5,1,13,0,2,3,0,0,0,25428,1.4,3,1530,36,14,0.060169891458235,0
"43",2008,"Holdrege PD","Phelps",10,0,1,5,0,0,0,0,0,0,5116,2,0,190,10,6,0.0371383893666927,0
"44",2008,"Kearney PD","Buffalo",48,3,5,10,0,1,1,0,0,0,31086,1.6,0,1319,51,15,0.042430676188638,1
"45",2008,"LaVista PD","Sarpy",28,3,0,4,0,1,2,0,0,0,17103,1.8,0,469,31,4,0.0274220896918669,2
"46",2008,"Lexington PD","Dawson",15,1,0,2,0,0,0,0,0,0,10172,1.6,0,648,16,2,0.0637042862760519,-3
"47",2008,"Lincoln PD","Lancaster",265,49,25,75,0,7,3,0,0,0,251550,1.2,0,14980,314,100,0.0595507851321805,5
"48",2008,"McCook PD","Red Willow",16,0,0,4,1,2,0,0,0,0,7401,2.2,0,368,16,4,0.0497230104039995,0
"49",2008,"Nebraska City PD","Otoe",12,3,0,1,0,0,0,0,0,0,7049,2.1,0,316,15,1,0.0448290537664917,0
"50",2008,"Norfolk PD","Madison",34,3,1,15,0,0,3,0,1,0,23096,1.6,0,1029,37,16,0.0445531693799792,0
"51",2008,"North Platte PD","Lincoln",42,0,5,20,0,1,0,0,0,0,24098,1.7,0,301,42,25,0.0124906631255706,0
"52",2008,"Omaha PD","Douglas",601,147,35,110,43,21,78,0,51,0,437238,1.7,0,26023,748,145,0.0595167849089054,0
"53",2008,"Papillion PD","Sarpy",32,6,1,3,0,1,0,0,0,0,22833,1.7,0,627,38,4,0.027460254894232,0
"54",2008,"Plattsmouth PD","Cass",15,0,0,2,0,0,0,0,0,0,6932,2.2,5,313,15,2,0.0451529140219273,0
"55",2008,"Ralston PD","Sarpy",13,0,0,2,0,0,0,0,0,0,6087,2.1,0,266,13,2,0.0436996878593724,0
"56",2008,"Schuyler PD","Colfax",6,1,0,2,0,0,1,0,0,0,5111,1.4,0,0,7,2,0,0
"57",2008,"Scottsbluff PD","Scotts Bluff",28,1,1,4,0,8,3,0,0,0,14667,2,0,1189,29,5,0.0810663394013772,0
"58",2008,"Seward PD","Seward",11,0,1,1,0,0,0,0,0,0,6759,1.6,0,161,11,2,0.0238200917295458,0
"59",2008,"Sidney PD","Cheyenne",14,0,0,2,0,1,0,0,0,0,6492,2.2,0,184,14,2,0.0283425754775108,0
"60",2008,"So Sioux City PD","Dakota",27,1,0,1,0,1,0,0,0,0,12005,2.3,0,359,28,1,0.0299042065805914,0
"61",2008,"Wayne PD","Wayne",8,1,1,4,1,1,0,0,0,0,5257,1.7,0,140,9,5,0.0266311584553928,0
"62",2008,"York PD","York",14,0,1,5,0,0,0,0,0,0,7884,1.8,0,270,14,6,0.0342465753424658,0
"63",2009,"Alliance PD","Box Butte",15,2,0,7,0,2,1,0,0,0,8024,2.1,0,315,17,7,0.0392572283150548,0
"64",2009,"Beatrice PD","Gage",17,5,3,7,0,2,0,0,0,0,12793,1.7,0,717,22,10,0.0560462753068084,-1
"65",2009,"Bellevue PD","Sarpy",93,5,5,12,0,7,7,0,3,2,50311,1.9,0,2302,98,17,0.0457554014032717,3
"66",2009,"Blair PD","Washington",17,0,0,2,2,0,0,0,0,0,7820,2.2,0,223,17,2,0.0285166240409207,0
"67",2009,"Chadron PD","Dawes",12,2,1,4,0,5,0,0,0,0,5409,2.6,0,238,14,5,0.044000739508227,0
"68",2009,"Columbus PD","Platte",33,3,2,13,0,0,1,0,1,0,21652,1.7,0,626,36,15,0.0289118788102716,-3
"69",2009,"Crete PD","Saline",9,2,1,5,0,1,0,0,0,0,6258,1.8,3,287,11,6,0.0458612975391499,-1
