year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so,total_crime
2007,Alliance PD,Box Butte,15,2,0,7,0,0,2,,1,,8054,2.1,,361
2007,Beatrice PD,Gage,16,5,3,8,0,3,1,,,,12972,1.6,,768
2007,Bellevue PD,Sarpy,80,6,7,9,0,8,1,,1,,48067,1.8,,2354
2007,Blair PD,Washington,15,0,0,2,2,0,,,,,7962,1.9,,217
2007,Chadron PD,Dawes,10,2,2,3,0,4,2,,,,5158,2.3,,195
2007,Columbus PD,Platte,30,3,2,11,0,0,2,,,,21420,1.5,,818
2007,Crete PD,Saline,9,2,1,6,2,0,,,,,6345,1.7,,296
2007,Fremont PD,Dodge,35,3,1,8,3,5,,,,,25423,1.5,3,1103
2007,Gering PD,Scotts Bluff,14,1,0,3,0,3,,,,,7677,2,,309
2007,Grand Island PD,Hall,70,5,0,10,0,8,,,,,44812,1.7,,2919
2007,Hastings PD,Adams,34,4,1,13,0,2,1,,,,25250,1.5,3,1302
2007,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5281,1.9,,236
2007,Kearney PD,Buffalo,45,2,5,7,0,1,5,,3,,29652,1.6,,1479
2007,LaVista PD,Sarpy,28,3,0,4,0,1,,,,,16816,1.8,,512
2007,Lexington PD,Dawson,14,1,0,2,0,0,,,,,10262,1.5,,607
2007,Lincoln PD,Lancaster,262,46,21,74,0,5,9,,,,243243,1.3,,16625
2007,McCook PD,Red Willow,15,0,0,4,0,2,,,,,7491,2,,437
2007,Nebraska City PD,Otoe,9,3,0,1,1,0,1,,,,7106,1.7,,353
2007,Norfolk PD,Madison,35,1,3,17,0,1,4,,,,23977,1.5,,947
2007,North Platte PD,Lincoln,42,0,5,20,0,1,,,,,24436,1.7,,2221
2007,Omaha PD,Douglas,607,148,44,121,30,24,67,,31,,431810,1.7,,27778
2007,Papillion PD,Sarpy,27,6,1,3,0,1,3,,,,21748,1.5,,588
2007,Plattsmouth PD,Cass,15,0,0,0,0,0,1,,,,7070,2.1,5,294
2007,Ralston PD,Sarpy,13,0,0,2,0,0,,,,,6144,2.1,,232
2007,Schuyler PD,Colfax,6,0,0,2,0,0,2,,,,5194,1.2,,161
2007,Scottsbluff PD,Scotts Bluff,30,2,1,4,0,0,,,,,14719,2.2,,1206
2007,Seward PD,Seward,9,0,1,1,0,0,2,,,,6922,1.3,,116
2007,Sidney PD,Cheyenne,12,0,0,2,0,1,2,,,1,6386,1.9,,277
2007,So Sioux City PD,Dakota,26,1,0,1,0,2,2,,,,12139,2.2,,313
2007,Wayne PD,Wayne,8,1,1,4,1,0,,,,,5136,1.8,,173
2007,York PD,York,14,0,1,5,0,0,,,,,7921,1.8,,303
2008,Alliance PD,Box Butte,16,1,0,5,0,1,2,,2,,7963,2.1,,323
2008,Beatrice PD,Gage,17,5,3,7,0,0,,,,,12913,1.7,,796
2008,Bellevue PD,Sarpy,85,6,7,12,0,7,,,2,2,48894,1.9,,2484
2008,Blair PD,Washington,17,0,1,2,2,2,,,,,7914,2.1,,212
2008,Chadron PD,Dawes,12,1,1,5,0,2,,,,,5473,2.4,,313
2008,Columbus PD,Platte,30,3,3,13,0,0,2,,,,21438,1.5,,819
2008,Crete PD,Saline,9,2,2,5,1,1,1,,,,6292,1.7,3,349
2008,Fremont PD,Dodge,37,3,1,8,4,3,,,,,25362,1.6,4,1354
2008,Gering PD,Scotts Bluff,14,1,0,3,0,0,,,,,7633,2,,264
2008,Grand Island PD,Hall,70,5,1,10,0,8,,,,,45022,1.7,,3082
2008,Hastings PD,Adams,31,5,1,13,0,2,3,,,,25428,1.4,3,1530
2008,Holdrege PD,Phelps,10,0,1,5,0,0,,,,,5116,2,,190
2008,Kearney PD,Buffalo,48,3,5,10,0,1,1,,,,31086,1.6,,1319
2008,LaVista PD,Sarpy,28,3,0,4,0,1,2,,,,17103,1.8,,469
2008,Lexington PD,Dawson,15,1,0,2,0,0,,,,,10172,1.6,,648
