Offense,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Total,98106,95379,96358,93771,94990,97325,94052,93234,91149,88808,84159,82448,78848,72887,73237,70708,71489,1476948
Unknown,4,4,5,3,9,6,2,6,0,3,6,0,0,2,35,2,2,89
Criminal Homicide,49,51,42,56,35,41,45,49,45,36,41,55,32,45,42,41,40,745
Death by Negligence,16,22,24,20,15,21,16,16,7,6,8,2,8,3,5,8,0,197
Forcible Rape,158,156,155,157,200,169,164,155,150,162,162,215,207,166,150,202,257,2985
Robbery,316,282,331,282,317,324,328,303,398,381,333,356,334,277,290,348,302,5502
Aggravated Assault,959,895,849,876,1044,1274,1152,1349,1400,1419,1502,1519,1523,1496,1692,1826,1439,22214
Burglary,1196,1033,1015,1031,1012,965,1046,938,941,938,879,931,876,809,734,684,608,15636
Larceny,9904,9797,9315,8256,8795,8468,7969,8514,8354,9118,8729,9784,9647,9183,9298,8930,9143,153204
Motor Vehicle Theft,471,558,530,457,399,370,371,436,389,374,366,365,354,338,361,377,424,6940
Simple Assault,10229,9809,9838,9589,9607,9975,9409,9529,9367,9561,8957,8502,7920,7622,7141,7096,8439,152590
Arson,148,141,126,119,114,125,115,108,83,101,79,89,95,66,73,79,57,1718
Forgery and Counterfeiting,887,850,885,823,732,810,593,577,469,439,485,309,339,393,333,347,281,9552
Fraud,2103,2093,1986,2006,1821,1850,1829,1896,1722,1601,1499,1255,1481,1396,1422,1371,1416,28747
Embezzlement,154,175,134,120,88,77,79,105,113,109,54,76,74,82,90,71,100,1701
Stolen Property,1132,1177,1233,1128,1051,1123,1100,924,840,766,809,703,786,672,682,653,659,15438
Vandalism,3331,2892,2919,2998,2780,2925,3182,3068,2756,3040,2784,2615,2612,2208,2261,2217,2252,46840
Weapons,1077,1100,1108,1044,1099,1166,1142,1118,1118,926,875,823,925,978,984,1106,1136,17725
Prostitution,472,365,411,491,312,148,236,182,212,180,148,141,198,165,113,155,131,4060
Sex Offenses (except rape and prostitution),712,690,606,636,617,598,653,648,605,643,622,574,579,510,468,453,471,10085
Drug Abuse Violations,9976,11219,11971,10278,10905,11299,10597,10509,10606,10186,10249,10117,10557,10624,11789,12109,12416,185407
Gambling,50,46,15,22,23,26,18,11,19,13,2,1,2,1,3,0,0,252
Offense Against Family and Children,1518,1502,1624,1512,1688,1663,1715,1683,1572,1505,1403,1366,1298,1273,1215,1211,1282,25030
Driving Under the Influence,11941,12243,13235,13686,14231,14595,13529,13534,13996,13682,12658,12248,10770,9459,8537,8206,7425,203975
Liquor Laws,11754,12918,13517,13122,12445,12842,12839,12493,12994,11704,10649,9983,8944,7306,6887,5733,5217,181347
Intoxication,0,4,22,1,0,0,0,0,0,0,0,0,0,0,1,2,0,30
Disorderly Conduct,4567,4168,4387,4483,4471,4230,4394,4673,4401,4222,3759,3806,3383,2920,2955,2690,2751,66260
Vagrancy,1,11,40,2,16,50,41,38,25,28,35,17,8,47,43,16,14,432
All Other Offenses (except traffic),23893,20330,19311,19881,20440,21325,20603,19501,17618,16862,16327,15967,15301,14317,15131,14309,14792,305908
Suspicion,1,2,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,10
Curfew (Juvenile only),674,550,469,435,393,509,462,434,497,332,295,232,242,199,163,142,144,6172
Runaway (Juvenile only),413,296,254,256,330,351,421,437,450,471,444,397,353,330,339,324,291,6157
