,County,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,Total,Population
1,Adams,1502,1731,1522,1398,1571,1606,1533,1471,1343,1482,27536,31684
2,Antelope,37,26,25,35,25,27,23,27,31,45,630,6329
3,Arthur,0,0,0,0,0,0,1,0,0,0,7,469
4,Banner,1,1,0,1,0,1,2,0,0,1,9,798
5,Blaine,2,0,0,0,1,0,1,0,0,1,7,484
6,Boone,3,14,0,1,5,0,1,25,4,0,232,5332
7,Box Butte,371,334,332,312,326,9,306,321,322,255,5964,11194
8,Boyd,14,15,17,28,16,1,0,0,0,0,211,1982
9,Brown,51,55,55,38,30,40,26,38,42,33,909,2960
10,Buffalo,1842,1573,1794,1661,1581,1554,1550,1374,1491,1440,29749,49383
11,Burt,56,58,37,55,61,47,48,35,49,46,1111,6546
12,Butler,110,85,106,92,149,130,103,94,76,52,1650,8052
13,Cass,713,693,402,579,698,706,478,451,523,510,9095,25767
14,Cedar,20,6,4,24,19,39,41,29,19,36,298,8671
15,Chase,48,29,62,55,44,45,56,44,57,24,735,3937
16,Cherry,176,152,114,142,134,149,125,99,90,132,1919,5832
17,Cheyenne,398,207,128,148,114,185,165,340,316,247,4225,10051
18,Clay,1,2,1,0,3,0,0,1,2,31,238,6163
19,Colfax,277,78,57,63,21,0,0,1,3,45,1940,10414
20,Cuming,71,62,49,49,54,41,38,45,39,31,1032,9016
21,Custer,148,178,187,217,174,162,143,135,142,188,2943,10807
22,Dakota,408,425,557,478,588,556,418,695,635,807,9575,20465
23,Dawes,207,335,253,301,249,268,329,212,237,209,3805,8979
24,Dawson,933,1016,970,883,764,768,722,693,691,588,15576,23640
25,Deuel,43,43,38,22,20,37,27,15,19,0,575,1873
26,Dixon,103,95,77,83,96,109,83,98,96,77,1582,5762
27,Dodge,1311,1558,1468,1481,1332,1256,1259,1189,1169,1162,22450,36757
28,Douglas,29965,27903,26894,25506,27174,27674,27412,27599,25310,27625,513069,554995
29,Dundy,1,0,1,1,0,0,0,0,37,12,180,1831
30,Fillmore,1,0,0,0,0,1,0,1,61,22,544,5720
31,Franklin,33,25,23,14,10,20,21,15,20,9,428,3014
32,Frontier,44,40,0,0,3,0,0,0,1,1,530,2621
33,Furnas,40,46,14,0,1,6,1,8,94,104,871,NA
34,Gage,1105,1044,995,922,926,844,724,796,666,687,16519,21799
35,Garden,1,1,0,0,4,1,1,0,0,0,203,1930
36,Garfield,0,0,0,0,0,0,0,1,2,2,10,2011
37,Gosper,59,23,21,0,7,40,16,21,26,18,470,1971
38,Grant,1,1,0,0,0,0,0,0,3,0,37,641
39,Greeley,3,2,0,3,0,0,0,0,1,0,92,2399
40,Hall,3264,3419,3487,3356,3451,3373,3323,3239,2452,2757,59768,61705
41,Hamilton,143,136,134,104,156,187,125,106,120,143,2937,9186
42,Harlan,7,16,11,2,3,1,0,1,0,1,86,3473
43,Hayes,0,0,0,0,0,1,1,0,11,12,35,897
44,Hitchcock,13,11,14,29,31,29,33,31,19,28,313,2825
45,Holt,65,31,35,30,36,76,48,45,41,57,1408,10250
46,Hooker,1,0,0,1,0,0,0,0,2,2,20,708
47,Howard,48,9,16,13,10,1,2,0,0,1,1112,6429
48,Jefferson,404,173,90,129,112,91,81,44,292,219,4038,7177
49,Johnson,34,27,34,40,53,60,78,44,53,33,901,5171
50,Kearney,193,187,164,172,115,263,148,159,161,140,2923,6552
51,Keith,369,371,289,286,323,250,247,250,313,301,5455,8
52,Keya Paha,9,13,1,0,1,0,2,2,8,1,42,791
53,Kimball,26,20,25,43,43,71,65,63,40,34,693,3679
54,Knox,38,52,32,32,38,36,23,35,40,35,869,8571
55,Lancaster,17477,15808,15368,15991,15731,16220,15107,14254,14249,13752,285016,309637
56,Lincoln,2427,545,1699,2431,2049,2082,2000,1865,1628,1528,32368,35550
57,Logan,4,1,0,4,0,2,0,0,0,0,16,772
58,Loup,0,0,0,0,0,0,0,0,0,0,2,591
59,Madison,1097,1222,1250,1226,1131,1213,1226,992,918,722,22155,35015
60,McPherson,1,1,0,0,0,2,1,2,0,0,21,493
61,Merrick,155,173,163,176,98,83,164,99,102,85,2698,7828
62,Morrill,138,103,121,95,61,41,70,26,57,66,1632,NA
63,Nance,37,31,31,42,45,49,15,0,8,0,602,3576
64,Nemaha,221,157,157,136,90,87,111,107,105,133,2473,6971
65,Nuckolls,10,11,8,22,26,32,26,30,43,40,310,4265
66,Otoe,367,432,329,265,396,401,310,401,342,502,7269,16081
67,Pawnee,33,64,24,30,49,26,54,47,30,55,852,2652
68,Perkins,32,53,40,34,33,20,26,26,57,26,666,2898
69,Phelps,292,241,245,281,258,264,269,247,244,248,4821,9266
70,Pierce,21,14,33,42,61,49,43,43,25,28,843,7159
71,Platte,1134,1068,824,873,873,835,831,656,602,775,15758,32861
72,Polk,79,69,78,87,82,52,75,88,74,35,1185,5203
73,Red Willow,483,406,362,312,342,383,333,374,321,301,6700,10722
74,Richardson,167,215,186,115,92,71,164,100,98,101,2551,8060
75,Rock,18,10,7,6,12,9,3,1,0,1,224,1390
76,Saline,435,488,437,380,444,436,483,424,396,335,7187,14331
77,Sarpy,4887,4912,4818,4582,4362,4077,3703,3793,3888,4262,75301,179023
78,Saunders,240,228,201,200,300,276,213,336,261,229,4661,21038
79,Scotts Bluff,1755,1668,1477,1574,1433,1179,1427,1299,1156,1338,26294,36422
80,Seward,230,237,222,154,184,244,266,198,170,144,4503,17284
81,Sheridan,189,204,201,185,233,218,208,70,79,68,3073,5234
82,Sherman,31,26,22,20,24,34,19,32,23,30,610,3054
83,Sioux,2,3,5,0,1,0,4,0,1,0,46,1242
84,Stanton,51,72,56,61,80,79,91,61,66,59,1297,5944
85,Thayer,77,106,77,102,88,101,131,68,54,70,1472,5101
86,Thomas,0,0,1,0,1,0,2,0,1,0,5,716
87,Thurston,7,0,0,0,0,1,1,17,51,42,212,7127
88,Valley,11,13,1,1,0,0,1,30,51,70,428,4184
89,Washington,350,366,394,228,323,197,291,297,363,291,5952,20603
90,Wayne,192,164,151,165,35,35,33,34,31,20,2181,9365
91,Webster,30,38,54,57,47,45,45,37,39,24,843,3603
92,Wheeler,2,7,4,6,6,3,9,1,2,3,103,776
93,York,372,343,301,299,328,340,320,324,238,295,5654,13794
