Rank,County,Population
1,Douglas County,554995
2,Lancaster County,309637
3,Sarpy County,179023
4,Hall County,61705
5,Buffalo County,49383
6,Dodge County,36757
7,Scotts Bluff County,36422
8,Lincoln County,35550
9,Madison County,35015
10,Platte County,32861
11,Adams County,31684
12,Cass County,25767
13,Dawson County,23640
14,Gage County,21799
15,Saunders County,21038
16,Washington County,20603
17,Dakota County,20465
18,Seward County,17284
19,Otoe County,16081
20,Saline County,14331
21,York County,13794
22,Box Butte County,11194
23,Custer County,10807
24,Red Willow County,10722
25,Colfax County,10414
26,Holt County,10250
27,Cheyenne County,10051
28,Wayne County,9365
29,Phelps County,9266
30,Hamilton County,9186
31,Cuming County,9016
32,Dawes County,8979
33,Cedar County,8671
34,Knox County,8571
35,Richardson County,8060
36,Butler County,8052
37,Keith County,8,01
38,Merrick County,7828
39,Jefferson County,7177
40,Pierce County,7159
41,Thurston County,7127
42,Nemaha County,6971
43,Kearney County,6552
44,Burt County,6546
45,Howard County,6429
46,Antelope County,6329
47,Clay County,6163
48,Stanton County,5944
49,Cherry County,5832
50,Dixon County,5762
51,Fillmore County,5720
52,Boone County,5332
53,Sheridan County,5234
54,Polk County,5203
55,Johnson County,5171
56,Thayer County,5101
57,Morrill County and Furnas County,4787
58,Nuckolls County,4265
59,Valley County,4184
60,Chase County,3937
61,Kimball County,3679
62,Webster County,3603
63,Nance County,3576
64,Harlan County,3473
65,Sherman County,3054
66,Franklin County,3014
67,Brown County,2960
68,Perkins County,2898
69,Hitchcock County,2825
70,Pawnee County,2652
71,Frontier County,2621
72,Greeley County,2399
73,Garfield County,2011
74,Boyd County,1982
75,Gosper County,1971
76,Garden County,1930
77,Deuel County,1873
78,Dundy County,1831
79,Rock County,1390
80,Sioux County,1242
81,Hayes County,897
82,Banner County,798
83,Keya Paha County,791
84,Wheeler County,776
85,Logan County,772
86,Thomas County,716
87,Hooker County,708
88,Grant County,641
89,Loup County,591
90,McPherson County,493
91,Blaine County,484
92,Arthur County,469
